Region,Area,lat,lng,total,Apples and products,"Aquatic Animals, Others",Aquatic Plants,Bananas,Barley and products,Beans,Beer,"Beverages, Alcoholic","Beverages, Fermented",Bovine Meat,"Butter, Ghee",Cassava and products,Cephalopods,"Cereals, Other","Citrus, Other",Cloves,Cocoa Beans and products,Coconut Oil,Coconuts - Incl Copra,Coffee and products,Cottonseed,Cottonseed Oil,Cream,Crustaceans,Dates,Demersal Fish,Eggs,"Fats, Animals, Raw","Fish, Body Oil","Fish, Liver Oil",Freshwater Fish,"Fruits, Other",Grapefruit and products,Grapes and products (excl wine),Groundnut Oil,Groundnuts (Shelled Eq),Honey,Infant food,"Lemons, Limes and products",Maize and products,Maize Germ Oil,"Marine Fish, Other","Meat, Aquatic Mammals","Meat, Other",Milk - Excluding Butter,Millet and products,Miscellaneous,"Molluscs, Other",Mutton & Goat Meat,Nuts and products,Oats,"Offals, Edible","Oilcrops Oil, Other","Oilcrops, Other",Olive Oil,Olives (including preserved),Onions,"Oranges, Mandarines",Palm kernels,Palm Oil,Palmkernel Oil,Peas,Pelagic Fish,Pepper,Pigmeat,Pimento,Pineapples and products,Plantains,Potatoes and products,Poultry Meat,"Pulses, Other and products",Rape and Mustard Oil,Rape and Mustardseed,Rice and products,Ricebran Oil,"Roots, Other",Rye and products,Sesame seed,Sesameseed Oil,Sorghum and products,Soyabean Oil,Soyabeans,"Spices, Other",Sugar (Raw Equivalent),Sugar beet,Sugar cane,Sugar non-centrifugal,Sunflower seed,Sunflowerseed Oil,Sweet potatoes,"Sweeteners, Other",Tea (including mate),Tomatoes and products,"Vegetables, Other",Wheat and products,Wine,Yams
Africa,Eastern Africa,1.96,37.30,59.06,0,0,0,0.52,1.01,5.77,0.14,0,0.22,2.02,0,1.18,0.01,2.52,0,0.01,0.01,0,0.05,0.14,0,0,0.01,0.03,0,0.04,0.26,0.02,0,0,1.19,0.17,0,0,0,1.13,0,0.01,0,13.07,0,0.28,0,0.43,3.13,0.77,0.02,0,0.44,0.1,0,0.57,0.01,0.05,0,0,0.12,0.04,0,0,0,0.89,0.16,0.01,0.48,0.28,0.02,0.31,0.71,0.61,4.67,0,0,3.51,0,0.66,0,0.1,0,2.18,0,0.64,0.04,0,0,0,0,0.08,0,1.1,0,0.12,0.11,0.78,6.02,0,0.09
Africa,Middle Africa,2.32,19.57,62.08,0,0,0,0.73,0.06,4.55,0.41,0,0.19,2.38,0,2.64,0.02,1.01,0.03,0,0.03,0,0.01,0.06,0,0,0.01,0.12,0.01,1.06,0.14,0.03,0,0,1.13,0.11,0,0,0,3.43,0.01,0.07,0,8.91,0,0.32,0,1.19,1.71,1.87,0.03,0,1.61,0.14,0.01,1.52,0.01,0.49,0,0,0.13,0.01,0,0,0,0.1,2.45,0,1.16,0.2,0.06,0.4,0.33,2.46,2.12,0,0,2.87,0,0.43,0,0.47,0,4.18,0,0.23,0.16,0,0,0,0,0,0,0.62,0,0.03,0.43,1.14,5.42,0,0.63
Africa,Northern Africa,26.02,32.28,90.96,0.06,0,0,0.26,1.62,0.29,0.03,0,0,3.31,0.02,0,0.03,0.01,0.01,0,0.09,0,0.01,0.2,0,0,0.03,0.06,0.54,0.58,1.36,0.01,0,0,1.88,0.37,0.01,0.17,0,0.52,0,0.06,0.04,8.47,0,0.09,0,0.62,7.82,0.67,0.02,0,1.64,0.37,0.01,1.58,0.02,0.09,0,0.17,0.79,0.4,0,0,0,0.21,1.69,0.02,0,0.2,0,0,1.47,3.86,3.71,0,0,3.26,0,0.01,0,0.26,0,3.21,0,0.07,0.18,0,0,0.11,0,0,0,0.04,0,0.25,1.17,2.46,34.42,0,0.03
Africa,Southern Africa,24.36,19.57,80.97,0.03,0,0,0.17,0.01,0.89,0.73,0,0.02,6.17,0.01,0,0.07,0.19,0,0,0.09,0,0.01,0.07,0,0,0.01,0.07,0,0.46,1.86,0,0,0,0.07,0.11,0.01,0.02,0,0.6,0,0.01,0,21.99,0,0.04,0,0.66,5.12,0.15,0.04,0.01,0.99,0.05,0.19,2.55,0,0,0,0,0.26,0.04,0,0,0,0.12,0.92,0,1.1,0.15,0.01,0,1.24,12.73,0.37,0,0,2.9,0,0.3,0.01,0,0,0.95,0,1.19,0.1,0,0,0,0,0,0,0.03,0,0.11,0.25,0.79,13.93,0,0
Africa,Western Africa,13.53,2.46,61.41,0,0,0,0.04,0.01,0.68,0.13,0,0.33,1.2,0,1.56,0.01,0.14,0.15,0,0.12,0,0.04,0.02,0,0,0,0.05,0.01,0.38,0.56,0.01,0,0,1.06,0.15,0,0,0,2.1,0,0.02,0,7.36,0,0.28,0,0.78,1.82,3.04,0.04,0,0.89,0.3,0.01,0.67,0.01,0.46,0,0,0.24,0.04,0,0,0,0.04,1.64,0.01,0.41,0.29,0.04,0.49,0.15,0.92,5.74,0,0,8.33,0,0.28,0,0.13,0,6.29,0,0.91,0.26,0,0,0,0,0,0,0.36,0,0.05,0.44,1.75,4.48,0,3.69
America,Caribbean,21.47,-78.66,69.81,0.01,0,0,0.63,0.04,4.91,0.26,0,0,2.49,0.01,0.33,0.03,0.08,0,0,0.17,0,0.38,0.37,0,0,0.01,0.13,0,0.41,1.66,0.02,0,0,0.42,0.86,0.03,0.02,0,0.52,0,0.2,0.02,4.67,0,0.64,0,1.18,6.63,0,0.09,0.03,0.35,0.04,0.08,1.3,0.01,0,0,0,0.19,0.13,0,0,0,0.14,0.99,0.01,3.18,0.12,0.06,0.72,0.36,8.21,3.14,0,0,9.07,0,0.25,0,0.05,0,0.21,0,1.25,0.08,0,0,0,0,0,0,0.48,0,0.01,0.5,1.33,9.7,0,0.6
America,Central America,12.77,-85.60,87.04,0.05,0.02,0,0.26,0.08,5.4,0.43,0,0,5.24,0.01,0.02,0.15,0.26,0,0,0.11,0.01,0.04,0.17,0,0.01,0.01,0.77,0,0.29,4.53,0.01,0,0,0.92,0.5,0.02,0.01,0,0.96,0,0.05,0.15,24.69,0,0.09,0,0.29,10,0,0.04,0.06,0.26,0.22,0.25,2.14,0.01,0,0,0,0.27,0.39,0,0,0,0.09,1.4,0.02,4.16,0.13,0.05,0.07,0.48,8.62,1,0,0,2.09,0,0.06,0,0.16,0,0.14,0.01,0.16,0.34,0,0,0,0,0.01,0,0.01,0.06,0.01,0.33,1.49,6.96,0,0
America,Northern America,48.17,-100.17,112.22,0.1,0.01,0,0.24,0.05,1.64,0.65,0,0.02,12.01,0.06,0,0.23,0.17,0,0,0.55,0,0.03,0.76,0,0,0.07,1.46,0.01,1.22,4.52,0.07,0,0,1.26,0.43,0.01,0.11,0,2.46,0.01,0.02,0.09,1.79,0.01,0.01,0,0.36,21.38,0,0.04,0.21,0.21,1.12,0.7,0.19,0.02,0.01,0,0.02,0.34,0.29,0,0,0,0.45,1.09,0.05,7.9,0.11,0.05,0.02,2.33,19.31,0.79,0,0,1.43,0,0.03,0.18,0.04,0,0.1,0.15,0.16,0.12,0,0,0,0,0.16,0,0.09,0.15,0.11,0.68,2.16,19.6,0,0
America,South America,-8.78,-55.49,84.45,0.05,0,0,0.49,0.13,4.68,0.42,0,0,11.84,0.01,0.46,0.07,0.14,0.02,0,0.2,0,0.24,0.33,0,0,0.04,0.18,0,0.48,2.51,0.09,0,0,0.91,0.3,0,0.06,0,0.34,0,0.03,0.04,5.75,0,0.12,0,0.49,11.09,0,0.02,0.02,0.25,0.15,0.41,1.42,0.03,0.07,0,0.01,0.32,0.27,0,0,0,0.34,0.99,0.01,3.41,0,0.05,0.22,1.64,12.49,0.61,0,0,5.96,0,0.04,0.01,0.03,0,0,0,0.17,0.05,0,0,0.02,0.09,0,0,0.07,0,0.54,0.33,0.99,11.86,0,0.05
Asia,Central Asia,45.45,68.83,88.3,0.08,0,0,0.01,0.79,0.43,0.17,0,0,9.11,0.01,0,0,0.28,0,0,0.18,0,0,0.03,0,0,0.12,0,0.01,0.02,1.89,0.02,0,0,0.52,0.6,0,0.35,0,0.26,0,0.06,0,1.1,0,0.05,0,0.7,18.63,0.02,0.08,0,2.94,0.37,0.17,1.72,0.02,0,0,0,0.81,0.02,0,0,0,0.2,0.13,0.02,0.75,0.01,0,0,2.85,2.26,0.02,0,0,1.47,0,0,0.03,0.04,0,0,0,0.01,0.02,0,0,0,0,0.13,0,0,0,0.27,1.29,3.85,33.38,0,0
