Area Code,Element Code,Item Code,Domain,Area,Region,Element,Item,Year,Unit,Value
5000,674,2511,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Wheat and products,2017,g/capita/day,15.99
5000,674,2805,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Rice and products,2017,g/capita/day,10.32
5000,674,2513,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Barley and products,2017,g/capita/day,0.21
5000,674,2514,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Maize and products,2017,g/capita/day,3.92
5000,674,2515,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Rye and products,2017,g/capita/day,0.13
5000,674,2516,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Oats,2017,g/capita/day,0.14
5000,674,2517,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Millet and products,2017,g/capita/day,0.61
5000,674,2518,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Sorghum and products,2017,g/capita/day,0.82
5000,674,2520,New Food Balances,World,Total,Protein supply quantity (g/capita/day),"Cereals, Other",2017,g/capita/day,0.24
5000,674,2532,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Cassava and products,2017,g/capita/day,0.24
5000,674,2531,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Potatoes and products,2017,g/capita/day,1.49
5000,674,2533,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Sweet potatoes,2017,g/capita/day,0.23
5000,674,2535,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Yams,2017,g/capita/day,0.21
5000,674,2534,New Food Balances,World,Total,Protein supply quantity (g/capita/day),"Roots, Other",2017,g/capita/day,0.08
5000,674,2536,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Sugar cane,2017,g/capita/day,0.01
5000,674,2537,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Sugar beet,2017,g/capita/day,0
5000,674,2541,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Sugar non-centrifugal,2017,g/capita/day,0.02
5000,674,2542,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Sugar (Raw Equivalent),2017,g/capita/day,0
5000,674,2543,New Food Balances,World,Total,Protein supply quantity (g/capita/day),"Sweeteners, Other",2017,g/capita/day,0.01
5000,674,2745,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Honey,2017,g/capita/day,0
5000,674,2546,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Beans,2017,g/capita/day,1.53
5000,674,2547,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Peas,2017,g/capita/day,0.6
5000,674,2549,New Food Balances,World,Total,Protein supply quantity (g/capita/day),"Pulses, Other and products",2017,g/capita/day,2.33
5000,674,2551,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Nuts and products,2017,g/capita/day,0.43
5000,674,2555,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Soyabeans,2017,g/capita/day,1.28
5000,674,2556,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Groundnuts (Shelled Eq),2017,g/capita/day,1.09
5000,674,2557,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Sunflower seed,2017,g/capita/day,0.02
5000,674,2558,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Rape and Mustardseed,2017,g/capita/day,0
5000,674,2559,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Cottonseed,2017,g/capita/day,0
5000,674,2560,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Coconuts - Incl Copra,2017,g/capita/day,0.11
5000,674,2561,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Sesame seed,2017,g/capita/day,0.09
5000,674,2562,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Palm kernels,2017,g/capita/day,0
5000,674,2563,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Olives (including preserved),2017,g/capita/day,0.01
5000,674,2570,New Food Balances,World,Total,Protein supply quantity (g/capita/day),"Oilcrops, Other",2017,g/capita/day,0.06
5000,674,2571,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Soyabean Oil,2017,g/capita/day,0.01
5000,674,2572,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Groundnut Oil,2017,g/capita/day,0
5000,674,2573,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Sunflowerseed Oil,2017,g/capita/day,0
5000,674,2574,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Rape and Mustard Oil,2017,g/capita/day,0
5000,674,2575,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Cottonseed Oil,2017,g/capita/day,0
5000,674,2576,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Palmkernel Oil,2017,g/capita/day,0
5000,674,2577,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Palm Oil,2017,g/capita/day,0
5000,674,2578,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Coconut Oil,2017,g/capita/day,0
5000,674,2579,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Sesameseed Oil,2017,g/capita/day,0
5000,674,2580,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Olive Oil,2017,g/capita/day,0
5000,674,2581,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Ricebran Oil,2017,g/capita/day,0
5000,674,2582,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Maize Germ Oil,2017,g/capita/day,0
5000,674,2586,New Food Balances,World,Total,Protein supply quantity (g/capita/day),"Oilcrops Oil, Other",2017,g/capita/day,0.01
5000,674,2601,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Tomatoes and products,2017,g/capita/day,0.56
5000,674,2602,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Onions,2017,g/capita/day,0.45
5000,674,2605,New Food Balances,World,Total,Protein supply quantity (g/capita/day),"Vegetables, Other",2017,g/capita/day,4.05
5000,674,2611,New Food Balances,World,Total,Protein supply quantity (g/capita/day),"Oranges, Mandarines",2017,g/capita/day,0.17
5000,674,2612,New Food Balances,World,Total,Protein supply quantity (g/capita/day),"Lemons, Limes and products",2017,g/capita/day,0.03
5000,674,2613,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Grapefruit and products,2017,g/capita/day,0.01
5000,674,2614,New Food Balances,World,Total,Protein supply quantity (g/capita/day),"Citrus, Other",2017,g/capita/day,0.02
5000,674,2615,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Bananas,2017,g/capita/day,0.27
5000,674,2616,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Plantains,2017,g/capita/day,0.08
5000,674,2617,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Apples and products,2017,g/capita/day,0.07
5000,674,2618,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Pineapples and products,2017,g/capita/day,0.02
5000,674,2619,New Food Balances,World,Total,Protein supply quantity (g/capita/day),Dates,2017,g/capita/day,0.04
